reading_id,SUBSAMPLE_ID,STEM_ID,GENPRINT,PConcentration,P_Error1s
2019-08-27-042,ST50GEN0108QL,ST50PKT0WCYH,1165,2743,119
2019-08-27-043,ST50GEN0108GS,ST50PKT0WCSY,496,2402,114
2019-08-27-044,ST50GEN0108Z0,ST50PKT0WD17,1160,4365,143
2019-08-27-045,ST50GEN01079D,ST50PKT0WC0H,258,3241,128
2019-08-27-046,ST50GEN0108YF,ST50PKT0WD0W,1233,3342,127
2019-08-27-047,ST50GEN0108WM,ST50PKT0WCZV,1232,4211,140
2019-08-27-048,ST50GEN01092T,ST50PKT0WD9H,253,3574,131
2019-08-27-049,ST50GEN010987,ST50PKT0WDBS,1449,3718,134
2019-08-27-050,ST50GEN0108NN,ST50PKT0WCR9,532,2997,122
2019-08-27-060,ST50GEN0109J9,ST50PKT0WD9V,1658,2861,121
2019-08-27-065,ST50GEN0109SW,ST50PKT0WDLV,1228,1785,105
2019-08-27-066,ST50GEN0109K0,ST50PKT0WDB8,417,3496,130
2019-08-27-067,ST50GEN01092P,ST50PKT0WD9F,828,4199,139
2019-08-27-068,ST50GEN0108YW,ST50PKT0WD15,1133,3880,138
2019-08-27-069,ST50GEN0108G2,ST50PKT0WCSJ,427,3286,128
2019-08-27-070,ST50GEN0108YT,ST50PKT0WD14,190,6576,170
2019-08-27-071,ST50GEN0109JW,ST50PKT0WDB4,1018,2850,123
2019-08-27-072,ST50GEN01092H,ST50PKT0WD7Q,1442,2652,117
2019-08-27-073,ST50GEN0109W0,ST50PKT0WDL7,1259,2961,124
2019-08-27-074,ST50GEN0109SM,ST50PKT0WDLQ,949,5059,154
2019-08-27-075,ST50GEN0108FS,ST50PKT0WCSD,434,403,171
2019-08-27-076,ST50GEN0109RX,ST50PKT0WDL9,544,2538,117
2019-08-27-077,ST50GEN0108WR,ST50PKT0WCZX,1265,3108,127
2019-08-27-079,ST50GEN01077V,ST50PKT0WC4F,1172,3431,129
2019-08-27-080,ST50GEN0108QS,ST50PKT0WCYL,813,2901,122
2019-08-27-081,ST50GEN0108N8,ST50PKT0WCR1,1443,2979,123
2019-08-27-082,ST50GEN0108YH,ST50PKT0WD0X,462,2804,120
2019-08-27-083,ST50GEN0108YP,ST50PKT0WD10,738,3214,126
2019-08-27-084,ST50GEN0108Z8,ST50PKT0WD2Z,462,4294,141
2019-08-27-085,ST50GEN0108G0,ST50PKT0WCSH,496,3239,127
2019-08-27-086,ST50GEN01079B,ST50PKT0WC0G,747,3608,132
2019-08-27-087,ST50GEN010792,ST50PKT0WC0B,349,4134,139
2019-08-27-088,ST50GEN01079J,ST50PKT0WC0K,1548,2580,115
2019-08-27-089,ST50GEN0108NX,ST50PKT0WCRF,1247,3252,127
2019-08-27-090,ST50GEN01078T,ST50PKT0WC04,737,3376,129
