STEM_ID,SUBSAMPLE.x,straw_pconc,PAP.x,yield.x,SUBSAMPLE.y,grain_pconc,PAP.y,yield.y
ST50PKT0WDL8,Straw,509,0 kg P,2.666880616,Grain,2807,0 kg P,2.666880616
ST50PKT0WD0L,Straw,905,30 kg P,5.131578947,Grain,4219,30 kg P,5.131578947
ST50PKT0WC4V,Straw,316,0 kg P,2.017008986,Grain,2717,0 kg P,2.017008986
ST50PKT0WDLQ,Straw,2285,0 kg P,2.604300385,Grain,5059,0 kg P,2.604300385
ST50PKT0WCRB,Straw,412,0 kg P,2.358793325,Grain,3188,0 kg P,2.358793325
ST50PKT0WC4J,Straw,674,30 kg P,3.201754386,Grain,3884,30 kg P,3.201754386
ST50PKT0WC0M,Straw,729,30 kg P,4.919407895,Grain,2777,30 kg P,4.919407895
ST50PKT0WDL5,Straw,35,0 kg P,1.023026316,Grain,2355,0 kg P,1.023026316
ST50PKT0WD0J,Straw,881,30 kg P,5.407573813,Grain,3003,30 kg P,5.407573813
ST50PKT0WD0H,Straw,781,30 kg P,3.500337382,Grain,4289,30 kg P,3.500337382
ST50PKT0WCCR,Straw,766,30 kg P,3.917936288,Grain,4400,30 kg P,3.917936288
ST50PKT0WC0F,Straw,464,30 kg P,3.03915276,Grain,4319,30 kg P,3.03915276
ST50PKT0WCZX,Straw,427,0 kg P,2.944944598,Grain,3108,0 kg P,2.944944598
ST50PKT0WD08,Straw,861,30 kg P,4.648587933,Grain,3582,30 kg P,4.648587933
ST50PKT0WD03,Straw,701,0 kg P,2.913292848,NA,NA,NA,NA
ST50PKT0WC0G,Straw,947,30 kg P,2.854621309,Grain,3608,30 kg P,2.854621309
ST50PKT0WDLL,Straw,324,0 kg P,2.008985879,Grain,2098,0 kg P,2.008985879
ST50PKT0WC4K,Straw,981,30 kg P,4.332236842,Grain,3907,30 kg P,4.332236842
ST50PKT0WCSD,Straw,403,0 kg P,2.969182825,Grain,3199,0 kg P,2.969182825
