TRUNC_ID,GENPRINT,SCANNING_CODE,STEM_ID,SUBSAMPLE_ID,SUBSAMPLE,Remarks
0109TY,1312,Aug 26-27,ST50PKT0WDKN,ST50GEN0109TY,Straw,NA
0109JX,683,Aug 26-28,ST50PKT0WDB7,ST50GEN0109JX,Straw,NA
0109W1,945,Aug 26-29,ST50PKT0WDL8,ST50GEN0109W1,Straw,NA
0108XY,1187,Aug 26-31,ST50PKT0WD0L,ST50GEN0108XY,Straw,NA
01078J,1445,Aug 26-32,ST50PKT0WC4V,ST50GEN01078J,Straw,NA
0109SL,949,Aug 26-33,ST50PKT0WDLQ,ST50GEN0109SL,Straw,NA
0108NP,1528,Aug 26-34,ST50PKT0WCRB,ST50GEN0108NP,Straw,NA
010780,737,Aug 26-35,ST50PKT0WC4J,ST50GEN010780,Straw,NA
01079M,139,Aug 26-36,ST50PKT0WC0M,ST50GEN01079M,Straw,NA
0109VV,1274,Aug 26-37,ST50PKT0WDL5,ST50GEN0109VV,Straw,NA
0108XT,484,Aug 26-38,ST50PKT0WD0J,ST50GEN0108XT,Straw,NA
0108XR,M73-13,Aug 26-39,ST50PKT0WD0H,ST50GEN0108XR,Straw,NA
0107R3,718,Aug 26-40,ST50PKT0WCCR,ST50GEN0107R3,Straw,NA
010797,1495,Aug 26-41,ST50PKT0WC0F,ST50GEN010797,Straw,NA
0108WQ,1265,Aug 26-42,ST50PKT0WCZX,ST50GEN0108WQ,Straw,NA
0108X9,808,Aug 26-43,ST50PKT0WD08,ST50GEN0108X9,Straw,NA
0108X3,665,Aug 26-44,ST50PKT0WD03,ST50GEN0108X3,Straw,NA
010799,747,Aug 26-45,ST50PKT0WC0G,ST50GEN010799,Straw,NA
0109SB,1035,Aug 26-46,ST50PKT0WDLL,ST50GEN0109SB,Straw,NA
010782,118,Aug 26-47,ST50PKT0WC4K,ST50GEN010782,Straw,NA
0109KD,1500,Aug 26-49,ST50PKT0WDBG,ST50GEN0109kd,Grain,NA
0109K4,1449,Aug 26-50,ST50PKT0WDBB,ST50GEN0109k4,Grain,NA
0109W2,945,Aug 26-51,ST50PKT0WDL8,ST50GEN0109w2,Grain,NA
0109JH,253,Aug 26-52,ST50PKT0WD9Y,ST50GEN0109jh,Grain,NA
0109JP,1064,Aug 26-53,ST50PKT0WDB1,ST50GEN0109JP,Grain,NA
0109JC,828,Aug 26-54,ST50PKT0WD9W,ST50GEN0109JC,Grain,NA
0109SH,1493,Aug 26-55,ST50PKT0WDLN,ST50GEN0109SH,Grain,NA
010985,886,Aug 26-56,ST50PKT0WDBR,ST50GEN010985,Grain,NA
0109JM,177,Aug 26-57,ST50PKT0WDB0,ST50GEN0109JM,Grain,NA
01092K,WESTONIA,Aug 26-58,ST50PKT0WD7R,ST50GEN01092K,Grain,NA
0108YK,662,Aug 26-59,ST50PKT0WD0Y,ST50GEN0108YK,Grain,NA
0108GG,1217,Aug 26-60,ST50PKT0WCSS,ST50GEN0108GG,Grain,NA
0109K8,1633,Aug 26-61,ST50PKT0WDBD,ST50GEN0109K8,Grain,NA
01097S,399,Aug 26-62,ST50PKT0WDBH,ST50GEN01097S,Grain,NA
0109TZ,1312,Aug 26-64,ST50PKT0WDKN,ST50GEN0109TZ,Grain,NA
01097Z,349,Aug 26-65,ST50PKT0WDBL,ST50GEN01097Z,Grain,NA
0108Y5,588,Aug 26-66,ST50PKT0WD0R,ST50GEN0108Y5,Grain,NA
0108JG,787,Aug 26-67,ST50PKT0WCRM,ST50GEN0108JG,Grain,NA
0109VW,1274,Aug 26-68,ST50PKT0WDL5,ST50GEN0109VW,Grain,NA
0108J6,1443,Aug 26-69,ST50PKT0WCRH,ST50GEN0108J6,Grain,NA
0108FR,1201,Aug 26-70,ST50PKT0WCSC,ST50GEN0108FR,Grain,NA
0109VM,589,Aug 26-71,ST50PKT0WDKZ,ST50GEN0109VM,Grain,NA
0109K6,1072,Aug 26-72,ST50PKT0WDBC,ST50GEN0109K6,Grain,NA
0108GQ,1262,Aug 26-73,ST50PKT0WCSX,ST50GEN0108GQ,Grain,NA
0109S1,669,Aug 26-74,ST50PKT0WDLC,ST50GEN0109S1,Grain,NA
0108FK,464,Aug 27-4,ST50PKT0WCWH,ST50GEN0108FK,Grain,NA
0108G6,1175,Aug 27-5,ST50PKT0WCSL,ST50GEN0108G6,Grain,NA
0108WW,M75-28,Aug 27-6,ST50PKT0WCZZ,ST50GEN0108WW,Grain,NA
01092W,550,Aug 27-7,ST50PKT0WD9J,ST50GEN01092W,Grain,NA
0108FT,434,Aug 27-8,ST50PKT0WCSD,ST50GEN0108FT,Grain,NA
0108X2,484,Aug 27-9,ST50PKT0WD02,ST50GEN0108X2,Grain,NA
0109V5,583,Aug 27-10,ST50PKT0WDKR,ST50GEN0109V5,Grain,NA
0108WK,808,Aug 27-11,ST50PKT0WCZT,ST50GEN0108WK,Grain,NA
0108XZ,1187,Aug 27-12,ST50PKT0WD0L,ST50GEN0108XZ,Grain,NA
01097V,236,Aug 27-13,ST50PKT0WDBJ,ST50GEN01097V,Grain,NA
0108GB,464,Aug 27-14,ST50PKT0WCSQ,ST50GEN0108GB,Grain,NA
01078C,1301,Aug 27-15,ST50PKT0WC4R,ST50GEN01078C,Grain,NA
0108NS,1255,Aug 27-16,ST50PKT0WCRC,ST50GEN0108NS,Grain,NA
0108NS,1255,Aug 27-17,ST50PKT0WCRC,ST50GEN0108NS,Grain,NA
0108YR,982,Aug 27-18,ST50PKT0WD11,ST50GEN0108YR,Grain,NA
0108FP,1217,Aug 27-19,ST50PKT0WCSB,ST50GEN0108FP,Grain,NA
0108XD,1232,Aug 27-20,ST50PKT0WD09,ST50GEN0108XD,Grain,NA
0109V1,1306,Aug 27-21,ST50PKT0WDKP,ST50GEN0109V1,Grain,NA
0108N0,1255,Aug 27-22,ST50PKT0WCQX,ST50GEN0108N0,Grain,NA
0108XS,M73-13,Aug 27-23,ST50PKT0WD0H,ST50GEN0108XS,Grain,NA
0108XX,665,Aug 27-24,ST50PKT0WD0K,ST50GEN0108XX,Grain,NA
0109HX,1064,Aug 27-25,ST50PKT0WD9L,ST50GEN0109HX,Grain,NA
0108G4,166,Aug 27-26,ST50PKT0WCSK,ST50GEN0108G4,Grain,NA
0108GJ,1201,Aug 27-27,ST50PKT0WCST,ST50GEN0108GJ,Grain,NA
0109JT,219,Aug 27-28,ST50PKT0WDB3,ST50GEN0109JT,Grain,NA
01092M,1658,Aug 27-29,ST50PKT0WD7S,ST50GEN01092M,Grain,NA
0109JK,550,Aug 27-30,ST50PKT0WD9Z,ST50GEN0109JK,Grain,NA
0108N2,839,Aug 27-31,ST50PKT0WCQY,ST50GEN0108N2,Grain,NA
0109J3,1018,Aug 27-32,ST50PKT0WD9P,ST50GEN0109J3,Grain,NA
01098C,1633,Aug 27-33,ST50PKT0WDBV,ST50GEN01098C,Grain,NA
01098K,399,Aug 27-34,ST50PKT0WDBY,ST50GEN01098K,Grain,NA
0108QJ,777,Aug 27-35,ST50PKT0WCYG,ST50GEN0108QJ,Grain,NA
0108MY,1528,Aug 27-36,ST50PKT0WCQW,ST50GEN0108MY,Grain,NA
0108FY,1262,Aug 27-37,ST50PKT0WCSG,ST50GEN0108FY,Grain,NA
0108XQ,958,Aug 27-38,ST50PKT0WD0G,ST50GEN0108XQ,Grain,NA
0109JR,1602,Aug 27-39,ST50PKT0WDB2,ST50GEN0109JR,Grain,NA
0108GN,1646,Aug 27-40,ST50PKT0WCSW,ST50GEN0108GN,Grain,NA
0108GZ,1175,Aug 27-41,ST50PKT0WCT1,ST50GEN0108GZ,Grain,NA
0108QL,1165,Aug 27-42,ST50PKT0WCYH,ST50GEN0108QL,Grain,NA
0108GS,496,Aug 27-43,ST50PKT0WCSY,ST50GEN0108GS,Grain,NA
0108Z0,1160,Aug 27-44,ST50PKT0WD17,ST50GEN0108Z0,Grain,NA
01079D,258,Aug 27-45,ST50PKT0WC0H,ST50GEN01079D,Grain,NA
0108YF,1233,Aug 27-46,ST50PKT0WD0W,ST50GEN0108YF,Grain,NA
0108WM,1232,Aug 27-47,ST50PKT0WCZV,ST50GEN0108WM,Grain,NA
01092T,253,Aug 27-48,ST50PKT0WD9H,ST50GEN01092T,Grain,NA
010987,1449,Aug 27-49,ST50PKT0WDBS,ST50GEN010987,Grain,NA
0108NN,532,Aug 27-50,ST50PKT0WCR9,ST50GEN0108NN,Grain,NA
0109J9,1658,Aug 27-60,ST50PKT0WD9V,ST50GEN0109J9,Grain,NA
0109SW,1228,Aug 27-65,ST50PKT0WDLV,ST50GEN0109SW,Grain,NA
0109K0,417,Aug 27-66,ST50PKT0WDB8,ST50GEN0109K0,Grain,NA
01092P,828,Aug 27-67,ST50PKT0WD9F,ST50GEN01092P,Grain,NA
0108YW,1133,Aug 27-68,ST50PKT0WD15,ST50GEN0108YW,Grain,NA
0108G2,427,Aug 27-69,ST50PKT0WCSJ,ST50GEN0108G2,Grain,NA
0108YT,190,Aug 27-70,ST50PKT0WD14,ST50GEN0108YT,Grain,NA
0109JW,1018,Aug 27-71,ST50PKT0WDB4,ST50GEN0109JW,Grain,NA
01092H,1442,Aug 27-72,ST50PKT0WD7Q,ST50GEN01092H,Grain,NA
0109W0,1259,Aug 27-73,ST50PKT0WDL7,ST50GEN0109W0,Grain,NA
0109SM,949,Aug 27-74,ST50PKT0WDLQ,ST50GEN0109SM,Grain,NA
0108FS,434,Aug 27-75,ST50PKT0WCSD,ST50GEN0108FS,Straw,NA
0109RX,544,Aug 27-76,ST50PKT0WDL9,ST50GEN0109RX,Grain,NA
0108WR,1265,Aug 27-77,ST50PKT0WCZX,ST50GEN0108WR,Grain,NA
01077V,1172,Aug 27-79,ST50PKT0WC4F,ST50GEN01077V,Grain,NA
0108QS,813,Aug 27-80,ST50PKT0WCYL,ST50GEN0108QS,Grain,NA
0108N8,1443,Aug 27-81,ST50PKT0WCR1,ST50GEN0108N8,Grain,NA
0108YH,462,Aug 27-82,ST50PKT0WD0X,ST50GEN0108YH,Grain,NA
0108YP,738,Aug 27-83,ST50PKT0WD10,ST50GEN0108YP,Grain,NA
0108Z8,462,Aug 27-84,ST50PKT0WD2Z,ST50GEN0108Z8,Grain,NA
0108G0,496,Aug 27-85,ST50PKT0WCSH,ST50GEN0108G0,Grain,NA
01079B,747,Aug 27-86,ST50PKT0WC0G,ST50GEN01079B,Grain,NA
010792,349,Aug 27-87,ST50PKT0WC0B,ST50GEN010792,Grain,NA
01079J,1548,Aug 27-88,ST50PKT0WC0K,ST50GEN01079J,Grain,NA
0108NX,1247,Aug 27-89,ST50PKT0WCRF,ST50GEN0108NX,Grain,NA
01078T,737,Aug 27-90,ST50PKT0WC04,ST50GEN01078T,Grain,NA
0109K2,886,Aug 27-91,ST50PKT0WDB9,ST50GEN0109K2,Grain,NA
0108WH,1148,Aug 27-92,ST50PKT0WCZS,ST50GEN0108WH,Grain,NA
0108WT,1212,Aug 27-93,ST50PKT0WCZY,ST50GEN0108WT,Grain,NA
0108XG,1229,Aug 27-94,ST50PKT0WD0B,ST50GEN0108XG,Grain,NA
0108Y9,1051,Aug 27-95,ST50PKT0WD0T,ST50GEN0108Y9,Grain,NA
0108MW,532,Aug 27-96,ST50PKT0WCQV,ST50GEN0108MW,Grain,NA
010981,683,Aug 27-97,ST50PKT0WDBP,ST50GEN010981,Grain,NA
