STEM_ID,SITE,YEAR,RUN,RANGE,PAP,BLOCK,RUNPAIR,SET,GENOTYPE,TRIAL,GEN,yield,biomass,sample_weight,grain_g,harvest_index
ST50PKT0WD0J,York,2018,47,3,30 kg P,1,24,BT 4-Way MAGIC,CAV4080484,York_2018,CAV4080484,5.407573813,14.62,291.7,116.7,0.400068564
ST50PKT0WD0H,York,2018,47,4,30 kg P,1,24,Maringa_Spica,M73-13,York_2018,M73-13,3.500337382,16.99,192.6,49.3,0.255970924
ST50PKT0WD0G,York,2018,47,5,30 kg P,1,24,BT 4-Way MAGIC,CAV4080958,York_2018,CAV4080958,4.448621554,12.11,221.54,89.5,0.40399025
ST50PKT0WD0F,York,2018,47,6,30 kg P,1,24,Maringa_Spica,M75-28,York_2018,M75-28,2.705391528,19.92,301.31,79.7,0.264511633
ST50PKT0WD0D,York,2018,47,7,30 kg P,1,24,BT 4-Way MAGIC,CAV4081212,York_2018,CAV4081212,4.49775353,12.69,234.11,83.4,0.356242792
ST50PKT0WD0C,York,2018,47,8,30 kg P,1,24,BT 4-Way MAGIC,CAV4081265,York_2018,CAV4081265,4.823407202,13.58,248.48,84.6,0.340470058
ST50PKT0WD0B,York,2018,47,9,30 kg P,1,24,BT 4-Way MAGIC,CAV4081229,York_2018,CAV4081229,3.54139923,7.85,157.1,63.2,0.402291534
ST50PKT0WD09,York,2018,47,10,30 kg P,1,24,BT 4-Way MAGIC,CAV4081232,York_2018,CAV4081232,4.518092105,12.61,395.79,157.7,0.398443619
ST50PKT0WD08,York,2018,47,11,30 kg P,1,24,BT 4-Way MAGIC,CAV4080808,York_2018,CAV4080808,4.648587933,12.41,213.79,87.9,0.41115113
ST50PKT0WD07,York,2018,47,12,30 kg P,1,24,BT 4-Way MAGIC,CAV4081148,York_2018,CAV4081148,3.671052632,11.11,229.11,77.2,0.336956047
ST50PKT0WD04,York,2018,48,1,0 kg P,1,24,BT 4-Way MAGIC,CAV4081187,York_2018,CAV4081187,3.292763158,10.35,258,101.8,0.394573643
ST50PKT0WD03,York,2018,48,2,0 kg P,1,24,BT 4-Way MAGIC,CAV4080665,York_2018,CAV4080665,2.913292848,12.58,243.59,102.4,0.420378505
ST50PKT0WD02,York,2018,48,3,0 kg P,1,24,BT 4-Way MAGIC,CAV4080484,York_2018,CAV4080484,3.06322208,9.9,220.98,88,0.398226084
ST50PKT0WD01,York,2018,48,4,0 kg P,1,24,Maringa_Spica,M73-13,York_2018,M73-13,2.591093117,14.1,292.55,104.5,0.357203897
ST50PKT0WCZZ,York,2018,48,6,0 kg P,1,24,Maringa_Spica,M75-28,York_2018,M75-28,1.86296534,14.39,179.28,51.8,0.288933512
ST50PKT0WCZY,York,2018,48,7,0 kg P,1,24,BT 4-Way MAGIC,CAV4081212,York_2018,CAV4081212,2.734274711,10.22,190.2,68.1,0.358044164
ST50PKT0WCZX,York,2018,48,8,0 kg P,1,24,BT 4-Way MAGIC,CAV4081265,York_2018,CAV4081265,2.944944598,10.78,200.55,72.8,0.363001745
